order_id,order_date,customer_id,customer_name,product_id,product_name,quantity,price
75,2024-05-10,26,Customer_26,1,Product_1,4,94.15
76,2024-05-10,5,Customer_5,16,Product_16,2,71.91
77,2024-05-10,20,Customer_20,3,Product_3,2,82.61
78,2024-05-10,16,Customer_16,20,Product_20,2,29.55
79,2024-05-10,22,Customer_22,14,Product_14,5,44.53
80,2024-05-10,21,Customer_21,1,Product_1,3,14.04
81,2024-05-10,16,Customer_16,15,Product_15,1,37.06
82,2024-05-10,18,Customer_18,15,Product_15,3,33.02
83,2024-05-10,1,Customer_1,17,Product_17,3,81.64
84,2024-05-10,20,Customer_20,20,Product_20,5,5.09
85,2024-05-10,12,Customer_12,8,Product_8,1,32.96
86,2024-05-10,28,Customer_28,15,Product_15,1,15.38
87,2024-05-10,30,Customer_30,20,Product_20,3,35.31
88,2024-05-10,12,Customer_12,1,Product_1,2,78.21
89,2024-05-10,11,Customer_11,13,Product_13,4,50.87
90,2024-05-10,2,Customer_2,13,Product_13,1,74.85
91,2024-05-10,30,Customer_30,5,Product_5,3,56.85
92,2024-05-10,34,Customer_34,5,Product_5,1,67.78
93,2024-05-10,30,Customer_30,16,Product_16,4,68.88
94,2024-05-10,24,Customer_24,16,Product_16,2,68.79
95,2024-05-10,25,Customer_25,16,Product_16,5,13.64
96,2024-05-10,28,Customer_28,12,Product_12,3,84.98
97,2024-05-10,25,Customer_25,12,Product_12,1,74.31
